GenusName,LossOfGofCalibAS1,LossOfGofCalibAS2,LossOfGofCalibAS3,LossOfGofValidAS1,LossOfGofValidAS2,LossOfGofValidAS3,LossOfAccuracyAS1,LossOfAccuracyAS2,LossOfAccuracyAS3
Chaetopteryx,-0.0204081632653061,0.00900900900900901,0.0133333333333333,-0.111111111111111,-0.277777777777778,-0.222222222222222,0.05,-0.0111111111111111,0.0222222222222222
Halesus,0,0.00900900900900901,0.0133333333333333,-0.305555555555556,-0.333333333333333,-0.277777777777778,-0.0611111111111111,-0.0333333333333334,-0.0666666666666667
Pseudopsilopteryx,-0.00680272108843537,0,0,-0.222222222222222,-0.277777777777778,-0.240740740740741,0.0111111111111111,0.0944444444444445,0.111111111111111
Drusus,0,0,-0.0133333333333333,-0.0833333333333333,-0.0555555555555556,-0.101851851851852,-0.0944444444444444,-0.122222222222222,-0.0944444444444444
Limnephilus,-0.00680272108843537,0,0,-0.0833333333333333,-0.0277777777777778,-0.0462962962962963,-0.0166666666666666,0.0166666666666667,-0.0444444444444444
Ecdyonurus,0.0136054421768707,0.018018018018018,0.0266666666666667,-0.111111111111111,-0.0694444444444444,-0.0648148148148148,-0.0111111111111111,3.70074341541719e-17,-0.0388888888888889
Ephemerella,0.00680272108843537,0.00900900900900901,0.0133333333333333,-0.0833333333333333,-0.138888888888889,-0.231481481481482,3.70074341541719e-17,-0.0166666666666666,0.05
Takobia,0,0,0,-0.25,-0.125,-0.12962962962963,0.00555555555555557,0,-0.0277777777777778
Dinocras,-0.00680272108843537,0.027027027027027,0.04,-0.0277777777777778,-0.111111111111111,-0.0648148148148148,-0.0166666666666667,-0.0388888888888889,-0.0666666666666667
Paraleptophlebia,0,0.045045045045045,0.04,-0.194444444444444,-0.152777777777778,-0.314814814814815,3.70074341541719e-17,-0.0444444444444444,0.00555555555555557
Lepidostoma,0.0136054421768707,0,0,-0.0277777777777778,-0.0416666666666667,-0.037037037037037,0.0111111111111111,-0.0333333333333333,-0.0222222222222222
Athripsodes,0,-0.018018018018018,0,-0.138888888888889,-0.0972222222222222,-0.138888888888889,-0.0555555555555556,-0.05,-0.1
Crunoecia,-0.0136054421768707,-0.00900900900900901,0,-0.0555555555555556,-0.0555555555555556,-0.0833333333333333,-0.0222222222222222,-0.0222222222222222,-0.0277777777777778
Glossosoma,0.0136054421768707,0.00900900900900901,0.0266666666666667,-0.277777777777778,-0.0972222222222222,-0.175925925925926,-0.1,-0.0722222222222223,-0.15
Sericostoma,0.0204081632653061,0.00900900900900901,0.04,-0.222222222222222,-0.208333333333333,-0.305555555555556,-0.0444444444444444,-0.05,-0.161111111111111
Allotrichia,0.0408163265306122,0.0810810810810811,0.08,-0.138888888888889,-0.152777777777778,-0.25,0.00555555555555554,-0.05,-0.0722222222222222
Habroleptoides,-0.00680272108843537,0,0,-0.194444444444444,-0.194444444444444,-0.12037037037037,-0.0166666666666667,0.0111111111111111,-0.0222222222222223
Hydropsyche,0.00680272108843537,0.045045045045045,0.0266666666666667,-0.222222222222222,-0.222222222222222,-0.333333333333333,-0.0222222222222222,3.70074341541719e-17,-0.266666666666667
Synagapetus,0,0.018018018018018,0.04,-0.222222222222222,-0.194444444444444,-0.194444444444444,-0.127777777777778,-0.116666666666667,-0.183333333333333
Hydroptila,-0.0204081632653061,0.00900900900900901,0,-0.166666666666667,-0.138888888888889,-0.203703703703704,0.0555555555555556,0.0611111111111112,0.0611111111111112
