GenusID,GenusName,TP,TN,FP,FN,Gof,AccAS1a,AccAS1b,AccAS1c,AccAS2a,AccAS2b,AccAS2c,AccAS3a,AccAS3b,AccAS3c,GofAS1a,GofAS1b,GofAS1c,GofAS2a,GofAS2b,GofAS2c,GofAS3a,GofAS3b,GofAS3c
19,Lepidostoma,0,0.983333333333333,0,0.0166666666666667,1,0.983333333333333,0.983333333333333,0.95,0.983333333333333,0.966666666666667,0.966666666666667,0.966666666666667,0.95,0.966666666666667,1,0.983606557377049,1,0.983606557377049,1,1,0.983606557377049,0.983606557377049,0.983606557377049
20,Amphinemura,0.0166666666666667,0.95,0.0166666666666667,0.0166666666666667,0.967213114754098,0.933333333333333,0.916666666666667,0.966666666666667,0.883333333333333,0.766666666666667,0.783333333333333,0.8,0.733333333333333,0.85,0.983606557377049,1,0.983606557377049,0.950819672131147,1,0.934426229508197,0.901639344262295,0.950819672131147,0.885245901639344
21,Cloeon,0.0166666666666667,0.95,0.0166666666666667,0.0166666666666667,1,0.95,0.933333333333333,0.966666666666667,0.916666666666667,0.9,0.966666666666667,0.916666666666667,0.816666666666667,0.95,0.983606557377049,1,1,0.983606557377049,0.983606557377049,1,1,1,0.934426229508197
22,Siphlonurus,0,0.933333333333333,0.05,0.0166666666666667,1,0.916666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.9,0.966666666666667,0.883333333333333,0.95,0.983606557377049,1,0.983606557377049,0.983606557377049,0.967213114754098,0.967213114754098,1,0.950819672131147,0.934426229508197
23,Crunoecia,0,0.816666666666667,0.166666666666667,0.0166666666666667,0.983606557377049,0.75,0.866666666666667,0.816666666666667,0.766666666666667,0.766666666666667,0.9,0.866666666666667,0.816666666666667,0.833333333333333,1,0.967213114754098,1,1,1,0.934426229508197,0.950819672131147,0.918032786885246,0.950819672131147
24,Odontocerum,0.133333333333333,0.366666666666667,0.483333333333333,0.0166666666666667,0.934426229508197,0.55,0.633333333333333,0.65,0.633333333333333,0.55,0.516666666666667,0.55,0.7,0.716666666666667,0.934426229508197,0.918032786885246,0.885245901639344,0.868852459016393,0.80327868852459,0.885245901639344,0.868852459016393,0.80327868852459,0.868852459016393
25,Chaetopteryx,0,0.966666666666667,0,0.0333333333333333,1,0.966666666666667,0.966666666666667,0.916666666666667,0.966666666666667,0.933333333333333,0.966666666666667,0.983333333333333,0.95,0.933333333333333,1,1,1,1,0.983606557377049,1,1,0.983606557377049,1
26,Drusus,0,0.966666666666667,0,0.0333333333333333,1,0.966666666666667,0.95,0.95,0.983333333333333,0.966666666666667,0.966666666666667,0.983333333333333,0.916666666666667,0.916666666666667,1,0.967213114754098,1,1,0.967213114754098,0.967213114754098,1,0.967213114754098,1
27,Allogamus,0.0166666666666667,0.933333333333333,0.0166666666666667,0.0333333333333333,1,0.916666666666667,0.966666666666667,0.966666666666667,0.933333333333333,0.85,0.966666666666667,0.916666666666667,0.933333333333333,0.883333333333333,0.983606557377049,1,1,0.983606557377049,1,0.967213114754098,0.983606557377049,0.950819672131147,0.967213114754098
28,Rhithrogena,0.416666666666667,0.333333333333333,0.216666666666667,0.0333333333333333,0.950819672131147,0.516666666666667,0.583333333333333,0.6,0.7,0.733333333333333,0.616666666666667,0.516666666666667,0.566666666666667,0.633333333333333,0.918032786885246,0.950819672131147,0.836065573770492,0.868852459016393,0.819672131147541,0.918032786885246,0.819672131147541,0.754098360655738,0.819672131147541
29,Philopotamus,0.15,0.533333333333333,0.283333333333333,0.0333333333333333,1,0.683333333333333,0.6,0.75,0.733333333333333,0.75,0.783333333333333,0.666666666666667,0.716666666666667,0.8,0.983606557377049,0.967213114754098,0.934426229508197,0.934426229508197,0.852459016393443,0.885245901639344,0.868852459016393,0.80327868852459,0.836065573770492
30,Ephemera,0.15,0.5,0.316666666666667,0.0333333333333333,0.950819672131147,0.7,0.783333333333333,0.616666666666667,0.6,0.566666666666667,0.75,0.733333333333333,0.666666666666667,0.616666666666667,0.901639344262295,0.901639344262295,0.934426229508197,0.868852459016393,0.80327868852459,0.868852459016393,0.819672131147541,0.836065573770492,0.819672131147541
31,Habroleptoides,0.5,0.15,0.316666666666667,0.0333333333333333,0.967213114754098,0.516666666666667,0.55,0.7,0.683333333333333,0.5,0.666666666666667,0.65,0.483333333333333,0.616666666666667,0.901639344262295,0.934426229508197,0.885245901639344,0.852459016393443,0.786885245901639,0.885245901639344,0.836065573770492,0.786885245901639,0.80327868852459
32,Sericostoma,0.116666666666667,0.283333333333333,0.566666666666667,0.0333333333333333,0.967213114754098,0.633333333333333,0.266666666666667,0.333333333333333,0.55,0.416666666666667,0.516666666666667,0.5,0.483333333333333,0.55,0.868852459016393,0.950819672131147,0.934426229508197,0.868852459016393,0.819672131147541,0.885245901639344,0.852459016393443,0.80327868852459,0.819672131147541
33,Electrogena,0.0333333333333333,0.916666666666667,0,0.05,1,0.833333333333333,0.9,0.833333333333333,0.866666666666667,0.8,0.816666666666667,0.9,0.8,0.866666666666667,0.983606557377049,0.983606557377049,0.983606557377049,0.983606557377049,0.950819672131147,1,0.934426229508197,0.950819672131147,0.918032786885246
34,Nemurella,0.0166666666666667,0.9,0.0333333333333333,0.05,1,0.883333333333333,0.916666666666667,0.9,0.933333333333333,0.933333333333333,0.933333333333333,0.9,0.883333333333333,0.833333333333333,0.983606557377049,0.983606557377049,0.967213114754098,0.983606557377049,0.983606557377049,1,0.967213114754098,1,0.950819672131147
35,Epeorus,0.0166666666666667,0.866666666666667,0.0666666666666667,0.05,0.983606557377049,0.9,0.866666666666667,0.85,0.866666666666667,0.883333333333333,0.9,0.883333333333333,0.833333333333333,0.816666666666667,0.967213114754098,0.967213114754098,0.983606557377049,0.967213114754098,0.967213114754098,0.967213114754098,0.983606557377049,0.950819672131147,0.934426229508197
